,Zeit,Temperatur,Druck,Luftfeuchtigkeit
428,2020/02/29 - 09:35:10,18.6,990.0,41.3
429,2020/02/29 - 09:35:15,18.6,990.0,41.2
430,2020/02/29 - 09:35:20,18.6,990.0,41.3
431,2020/02/29 - 09:35:25,18.6,990.0,41.3
432,2020/02/29 - 09:35:30,18.6,990.0,41.3
433,2020/02/29 - 09:35:35,18.6,990.0,41.3
434,2020/02/29 - 09:35:40,18.6,990.0,41.4
435,2020/02/29 - 09:35:45,18.6,990.0,41.4
436,2020/02/29 - 09:35:50,18.6,990.0,41.4
437,2020/02/29 - 09:35:55,18.6,990.0,41.4
438,2020/02/29 - 09:36:00,18.7,990.0,41.3
439,2020/02/29 - 09:36:05,18.7,990.0,41.2
440,2020/02/29 - 09:36:10,18.7,990.0,41.2
441,2020/02/29 - 09:36:15,18.7,990.0,41.2
442,2020/02/29 - 09:36:20,18.7,990.0,41.2
443,2020/02/29 - 09:36:25,18.7,990.0,41.2
444,2020/02/29 - 09:36:30,18.7,990.0,41.2
445,2020/02/29 - 09:36:35,18.7,990.0,41.2
446,2020/02/29 - 09:36:40,18.7,990.0,41.2
447,2020/02/29 - 09:36:45,18.7,990.0,41.2
448,2020/02/29 - 09:36:50,18.7,990.0,41.2
449,2020/02/29 - 09:36:55,18.7,990.0,41.3
450,2020/02/29 - 09:37:00,18.7,990.0,41.2
451,2020/02/29 - 09:37:05,18.7,990.0,41.2
452,2020/02/29 - 09:37:10,18.7,990.0,41.1
453,2020/02/29 - 09:37:15,18.7,990.0,41.1
454,2020/02/29 - 09:37:20,18.7,990.0,41.1
455,2020/02/29 - 09:37:25,18.7,990.0,41.1
456,2020/02/29 - 09:37:30,18.7,990.0,41.1
457,2020/02/29 - 09:37:35,18.7,990.0,41.1
458,2020/02/29 - 09:37:40,18.7,990.0,41.0
459,2020/02/29 - 09:37:45,18.7,990.0,41.0
460,2020/02/29 - 09:37:50,18.7,990.0,41.0
461,2020/02/29 - 09:37:55,18.7,990.0,41.0
462,2020/02/29 - 09:38:00,18.7,990.0,41.1
463,2020/02/29 - 09:38:05,18.7,990.0,41.1
464,2020/02/29 - 09:38:10,18.7,990.0,41.1
465,2020/02/29 - 09:38:15,18.6,990.0,41.1
466,2020/02/29 - 09:38:20,18.6,990.0,41.2
467,2020/02/29 - 09:38:25,18.6,990.0,41.2
468,2020/02/29 - 09:38:30,18.6,990.0,41.3
469,2020/02/29 - 09:38:35,18.6,990.0,41.4
470,2020/02/29 - 09:38:40,18.6,990.0,41.4
471,2020/02/29 - 09:38:45,18.6,990.0,41.4
472,2020/02/29 - 09:38:50,18.5,990.0,41.4
473,2020/02/29 - 09:38:55,18.6,990.0,41.4
474,2020/02/29 - 09:39:00,18.5,990.0,41.5
475,2020/02/29 - 09:39:05,18.5,990.0,41.6
